latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
19.49014,85.20157,329.54,0.34,0.56,2026-08-01,0657,N21,VIIRS,n,2.0NRT,290.5,3.14,D
23.80213,86.32997,333.41,0.47,0.48,2026-08-01,0659,N21,VIIRS,n,2.0NRT,291.28,5.27,D
11.88981,79.31049,330.05,0.34,0.56,2026-08-01,0837,N21,VIIRS,n,2.0NRT,290.51,1.68,D
11.29002,79.78289,331.9,0.36,0.58,2026-08-01,0837,N21,VIIRS,n,2.0NRT,290.24,3.65,D
11.95934,79.44656,332.88,0.35,0.57,2026-08-01,0837,N21,VIIRS,n,2.0NRT,291.39,2.4,D
11.96078,79.44628,333.69,0.35,0.57,2026-08-01,0837,N21,VIIRS,n,2.0NRT,291.08,2.33,D
12.0521,79.67383,334.67,0.37,0.58,2026-08-01,0837,N21,VIIRS,n,2.0NRT,291.39,3.22,D
12.05169,79.67051,332.24,0.37,0.58,2026-08-01,0837,N21,VIIRS,n,2.0NRT,290.7,3.22,D
12.32935,79.62632,341.51,0.37,0.58,2026-08-01,0837,N21,VIIRS,n,2.0NRT,288.58,7.9,D
11.21864,78.20132,331.58,0.56,0.52,2026-08-01,0837,N21,VIIRS,n,2.0NRT,292.81,4.35,D
11.32136,79.04636,333.21,0.32,0.55,2026-08-01,0837,N21,VIIRS,n,2.0NRT,291.71,3.44,D
10.93222,78.44296,337.15,0.58,0.52,2026-08-01,0837,N21,VIIRS,n,2.0NRT,293.31,6.47,D
11.80317,78.73422,340.2,0.63,0.54,2026-08-01,0837,N21,VIIRS,n,2.0NRT,291.02,15.02,D
27.51347,71.62677,343.41,0.54,0.42,2026-08-01,0839,N21,VIIRS,n,2.0NRT,301.17,16.12,D
22.31883,82.56562,300.18,0.45,0.63,2026-08-01,1925,N21,VIIRS,n,2.0NRT,264.33,0.94,N
23.7178,86.44274,299,0.52,0.5,2026-08-01,1925,N21,VIIRS,n,2.0NRT,273.94,2.09,N
24.11519,86.85891,315.68,0.49,0.49,2026-08-01,1925,N21,VIIRS,n,2.0NRT,285.9,2.16,N
23.68786,87.12221,297.45,0.47,0.48,2026-08-01,1925,N21,VIIRS,n,2.0NRT,267.35,1.43,N
23.75932,86.40166,299.18,0.52,0.5,2026-08-01,1925,N21,VIIRS,n,2.0NRT,268.23,1.53,N
23.73716,86.43492,310.45,0.52,0.5,2026-08-01,1925,N21,VIIRS,n,2.0NRT,273.46,2.08,N
23.72291,86.43824,302.22,0.52,0.5,2026-08-01,1925,N21,VIIRS,n,2.0NRT,275.43,1.63,N
21.96972,85.31415,298.3,0.58,0.52,2026-08-01,1925,N21,VIIRS,n,2.0NRT,276.84,1.78,N
21.80114,82.03998,304.74,0.48,0.64,2026-08-01,1925,N21,VIIRS,n,2.0NRT,280.59,1.56,N
21.62323,81.79317,299.31,0.49,0.65,2026-08-01,1925,N21,VIIRS,n,2.0NRT,277.38,0.64,N
20.86213,84.98734,299.02,0.59,0.53,2026-08-01,1925,N21,VIIRS,n,2.0NRT,269.11,1.64,N
20.79498,85.2541,324.05,0.57,0.52,2026-08-01,1925,N21,VIIRS,n,2.0NRT,275.08,6.33,N
20.7942,85.25123,321.61,0.57,0.52,2026-08-01,1925,N21,VIIRS,n,2.0NRT,275.64,5.54,N
20.79359,85.25661,303.71,0.57,0.52,2026-08-01,1925,N21,VIIRS,n,2.0NRT,274,2.1,N
21.33668,78.96526,298.71,0.75,0.77,2026-08-01,1925,N21,VIIRS,n,2.0NRT,277.39,3.32,N
23.71215,86.45232,306.47,0.52,0.5,2026-08-01,1925,N21,VIIRS,n,2.0NRT,273.32,0.93,N
23.68608,86.39214,297.12,0.52,0.5,2026-08-01,1925,N21,VIIRS,n,2.0NRT,270.8,1.34,N
23.68097,86.39668,304.24,0.52,0.5,2026-08-01,1925,N21,VIIRS,n,2.0NRT,279.84,1.95,N
23.67639,86.39605,306.27,0.52,0.5,2026-08-01,1925,N21,VIIRS,n,2.0NRT,279.87,1.95,N
23.67587,86.4011,308.72,0.52,0.5,2026-08-01,1925,N21,VIIRS,n,2.0NRT,283.26,1.95,N
23.6854,86.39404,298.67,0.52,0.5,2026-08-01,1925,N21,VIIRS,n,2.0NRT,271.76,0.53,N
23.68083,86.39339,300.39,0.52,0.5,2026-08-01,1925,N21,VIIRS,n,2.0NRT,276.06,0.53,N
23.67569,86.39787,308.54,0.52,0.5,2026-08-01,1925,N21,VIIRS,n,2.0NRT,282.12,1.87,N
