latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
17.36847,75.56014,315.28,1.08,1.04,2026-08-01,0400,Terra,MODIS,57,6.1NRT,296.22,7.1,D
12.3302,79.6273,324.87,1.18,1.08,2026-08-01,0958,Aqua,MODIS,75,6.1NRT,297.92,12.59,D
22.20941,84.86211,309.64,1,1,2026-08-01,1452,Terra,MODIS,78,6.1NRT,292.01,6.05,N
23.78041,86.21564,307.05,1.01,1.01,2026-08-01,2208,Aqua,MODIS,70,6.1NRT,290.94,5.48,N
23.82097,84.57587,305.25,1.02,1.01,2026-08-01,2208,Aqua,MODIS,43,6.1NRT,286.99,7.73,N
21.19598,81.41913,306.22,1.31,1.13,2026-08-01,2210,Aqua,MODIS,67,6.1NRT,289.61,7.79,N
8.8271,78.08819,319.79,1.46,1.19,2026-08-01,2212,Aqua,MODIS,99,6.1NRT,289.46,27.64,N
8.76382,78.18868,306.42,1.43,1.18,2026-08-01,2212,Aqua,MODIS,29,6.1NRT,290.02,11.67,N
11.11728,79.25729,311.23,1.07,1.03,2026-08-02,1526,Terra,MODIS,82,6.1NRT,286.52,8.58,N
14.08998,78.12283,307.09,1.03,1.01,2026-08-02,1526,Terra,MODIS,70,6.1NRT,293.44,5,N
22.14031,72.23269,312.84,2.61,1.55,2026-08-03,0336,Terra,MODIS,45,6.1NRT,285.47,32.57,D
20.96492,85.17709,313.15,1.82,1.32,2026-08-03,0336,Terra,MODIS,66,6.1NRT,285.03,16.58,D
20.70657,78.62365,308.53,1.02,1.01,2026-08-03,0336,Terra,MODIS,63,6.1NRT,285.98,4.99,D
24.0728,69.47696,326.64,3.28,1.71,2026-08-03,1117,Aqua,MODIS,80,6.1NRT,290.92,94.41,D
24.07264,69.48524,325.57,3.28,1.71,2026-08-03,1117,Aqua,MODIS,79,6.1NRT,290.78,87.99,D
19.38214,73.21275,310.99,1.38,1.16,2026-08-04,0417,Terra,MODIS,38,6.1NRT,291.43,8.64,D
12.71933,79.76971,323.68,1.07,1.03,2026-08-04,1013,Aqua,MODIS,73,6.1NRT,298.82,11.34,D
15.81791,80.07101,314.91,1.32,1.14,2026-08-05,0319,Terra,MODIS,61,6.1NRT,284.93,8.14,D
25.77991,73.69463,302.32,1.41,1.17,2026-08-05,1550,Terra,MODIS,33,6.1NRT,286.85,5.07,N
25.94194,72.18545,327.96,1.16,1.07,2026-08-05,1550,Terra,MODIS,100,6.1NRT,296.3,27.81,N
