latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
12.16273,79.51328,335.62,0.4,0.6,2026-08-01,0729,SNPP,SNPP,n,2.0NRT,290.2,2.43,D
9.25059,78.28757,331.5,0.54,0.68,2026-08-01,0729,SNPP,SNPP,n,2.0NRT,286.25,3.55,D
11.29512,79.7821,337.98,0.4,0.6,2026-08-01,0729,SNPP,SNPP,n,2.0NRT,289.25,4.08,D
10.53246,79.23427,335.62,0.45,0.63,2026-08-01,0729,SNPP,SNPP,n,2.0NRT,287.48,3.88,D
11.05063,79.35343,339.95,0.43,0.62,2026-08-01,0729,SNPP,SNPP,n,2.0NRT,289.63,6.21,D
11.05169,79.3529,342.3,0.43,0.62,2026-08-01,0729,SNPP,SNPP,n,2.0NRT,289.33,7.35,D
11.30795,78.57752,333.94,0.48,0.65,2026-08-01,0729,SNPP,SNPP,n,2.0NRT,286.09,2.75,D
12.16129,79.51262,332.86,0.4,0.6,2026-08-01,0731,SNPP,SNPP,n,2.0NRT,289.72,4.49,D
12.28848,79.43398,336.2,0.4,0.6,2026-08-01,0731,SNPP,SNPP,n,2.0NRT,289.96,2.66,D
24.11647,86.8599,332.08,0.38,0.36,2026-08-01,0733,SNPP,SNPP,n,2.0NRT,292,2.89,D
21.74885,83.84124,337.51,0.46,0.39,2026-08-01,0733,SNPP,SNPP,n,2.0NRT,294.57,6.71,D
22.37792,87.2805,333.8,0.38,0.36,2026-08-01,0733,SNPP,SNPP,n,2.0NRT,280.48,5.85,D
22.7971,86.2003,331.13,0.39,0.36,2026-08-01,0733,SNPP,SNPP,l,2.0NRT,298.24,8.03,D
23.64927,85.44041,340,0.39,0.36,2026-08-01,0733,SNPP,SNPP,n,2.0NRT,293.36,5.48,D
25.982,93.68969,342.01,0.52,0.5,2026-08-01,0733,SNPP,SNPP,n,2.0NRT,284.01,7.61,D
23.75833,85.85569,332.89,0.39,0.36,2026-08-01,0733,SNPP,SNPP,l,2.0NRT,292.82,7.5,D
23.78781,85.55238,330.66,0.39,0.36,2026-08-01,0733,SNPP,SNPP,l,2.0NRT,297.5,5.5,D
21.67993,84.03944,333.65,0.45,0.39,2026-08-01,0733,SNPP,SNPP,l,2.0NRT,296.73,7.89,D
21.7496,83.8456,335.9,0.46,0.39,2026-08-01,0733,SNPP,SNPP,n,2.0NRT,294.92,6.71,D
21.74527,83.84196,341.54,0.46,0.39,2026-08-01,0733,SNPP,SNPP,l,2.0NRT,295.68,10.63,D
31.01247,76.57536,295.38,0.5,0.66,2026-08-01,2000,SNPP,SNPP,n,2.0NRT,285.26,4.85,N
22.32667,82.54604,296.31,0.53,0.42,2026-08-01,2002,SNPP,SNPP,n,2.0NRT,263.55,0.4,N
24.11583,86.86163,314.57,0.39,0.36,2026-08-01,2002,SNPP,SNPP,n,2.0NRT,287.23,2.01,N
23.80345,86.33042,297.73,0.39,0.36,2026-08-01,2002,SNPP,SNPP,n,2.0NRT,262.63,0.94,N
23.79724,86.34898,299.93,0.39,0.36,2026-08-01,2002,SNPP,SNPP,n,2.0NRT,264.29,1.62,N
23.79666,86.35281,297.36,0.39,0.36,2026-08-01,2002,SNPP,SNPP,n,2.0NRT,263.42,1.24,N
23.75601,86.40481,297.49,0.39,0.36,2026-08-01,2002,SNPP,SNPP,n,2.0NRT,260.35,1.9,N
23.78228,86.20873,301.5,0.39,0.36,2026-08-01,2002,SNPP,SNPP,n,2.0NRT,268.7,0.81,N
23.77894,86.20814,299.39,0.39,0.36,2026-08-01,2002,SNPP,SNPP,n,2.0NRT,270.04,0.81,N
23.77836,86.21198,301.64,0.39,0.36,2026-08-01,2002,SNPP,SNPP,n,2.0NRT,269.66,0.81,N
23.66364,86.91719,306.08,0.39,0.36,2026-08-01,2002,SNPP,SNPP,n,2.0NRT,288.27,2.27,N
23.83612,85.4694,308.06,0.41,0.37,2026-08-01,2002,SNPP,SNPP,n,2.0NRT,290,1.46,N
23.63226,86.83409,302.57,0.39,0.36,2026-08-01,2002,SNPP,SNPP,n,2.0NRT,281.84,0.92,N
21.18629,81.39201,303.54,0.39,0.44,2026-08-01,2002,SNPP,SNPP,n,2.0NRT,285.07,0.74,N
21.18271,81.38761,302.58,0.39,0.44,2026-08-01,2002,SNPP,SNPP,n,2.0NRT,283.82,0.74,N
21.33393,78.9678,307.82,0.56,0.51,2026-08-01,2002,SNPP,SNPP,n,2.0NRT,286.07,2.03,N
20.70397,78.62037,303.12,0.58,0.52,2026-08-01,2002,SNPP,SNPP,n,2.0NRT,285.44,0.76,N
20.69733,78.63657,303.71,0.58,0.52,2026-08-01,2002,SNPP,SNPP,n,2.0NRT,285.81,0.78,N
23.82184,85.4957,311.16,0.41,0.37,2026-08-01,2002,SNPP,SNPP,n,2.0NRT,290.24,2.48,N
23.68604,86.39225,309.34,0.39,0.36,2026-08-01,2002,SNPP,SNPP,n,2.0NRT,267.75,1.49,N
23.68213,86.39546,303.37,0.39,0.36,2026-08-01,2002,SNPP,SNPP,n,2.0NRT,263.74,0.63,N
23.75925,85.8541,298.83,0.4,0.37,2026-08-01,2002,SNPP,SNPP,n,2.0NRT,275.34,0.94,N
23.6788,86.39487,297.19,0.39,0.36,2026-08-01,2002,SNPP,SNPP,n,2.0NRT,263.86,0.7,N
23.67822,86.39868,298.17,0.39,0.36,2026-08-01,2002,SNPP,SNPP,n,2.0NRT,260.19,0.7,N
23.75588,85.85352,306.39,0.4,0.37,2026-08-01,2002,SNPP,SNPP,n,2.0NRT,276.94,0.94,N
23.5629,87.08395,309.67,0.38,0.36,2026-08-01,2002,SNPP,SNPP,n,2.0NRT,284.8,1.36,N
23.68041,86.09647,306.91,0.4,0.37,2026-08-01,2002,SNPP,SNPP,n,2.0NRT,278.47,0.88,N
23.67879,86.0843,307.51,0.4,0.37,2026-08-01,2002,SNPP,SNPP,n,2.0NRT,278.16,1.51,N
23.67486,86.08758,303.38,0.4,0.37,2026-08-01,2002,SNPP,SNPP,n,2.0NRT,281.38,1.36,N
23.7438,85.50382,304.15,0.41,0.37,2026-08-01,2002,SNPP,SNPP,n,2.0NRT,280.21,0.74,N
23.73648,85.48212,305.54,0.41,0.37,2026-08-01,2002,SNPP,SNPP,n,2.0NRT,282.84,1.24,N
