latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
30.21693,76.76219,306.64,0.4,0.45,2026-09-02,2019,N20,VIIRS,n,2.0NRT,288.61,1.37,N
28.71685,76.8332,299.98,0.37,0.58,2026-09-03,2002,N20,VIIRS,n,2.0NRT,274.6,1.13,N
28.74499,76.92669,296.37,0.36,0.58,2026-09-03,2002,N20,VIIRS,n,2.0NRT,279.34,2.1,N
29.47446,76.85703,309.14,0.37,0.58,2026-09-03,2002,N20,VIIRS,n,2.0NRT,288.99,5.44,N
29.47475,76.85314,367,0.37,0.58,2026-09-03,2002,N20,VIIRS,h,2.0NRT,288.75,8.36,N
29.47725,76.85763,310.55,0.37,0.58,2026-09-03,2002,N20,VIIRS,n,2.0NRT,289.14,6.79,N
29.47757,76.85374,367,0.37,0.58,2026-09-03,2002,N20,VIIRS,h,2.0NRT,288.83,9.46,N
29.48014,76.85374,305.02,0.37,0.58,2026-09-03,2002,N20,VIIRS,n,2.0NRT,288.34,0.73,N
29.47193,76.86103,313.99,0.66,0.73,2026-09-03,2142,N20,VIIRS,n,2.0NRT,287.4,3.16,N
29.47375,76.85448,316.52,0.66,0.73,2026-09-03,2142,N20,VIIRS,n,2.0NRT,287.5,3.16,N
29.47733,76.8575,334.66,0.66,0.73,2026-09-03,2142,N20,VIIRS,n,2.0NRT,288.13,5.4,N
29.47778,76.85781,305.57,0.56,0.43,2026-09-05,2104,N20,VIIRS,n,2.0NRT,290.94,1.29,N
