latitude,longitude,brightness,confidence,satellite,acq_date,acq_time
11.15094,78.02576,330.71,60,VIIRS,2026-08-01,0750
10.38009,78.3605,331.79,60,VIIRS,2026-08-01,0750
8.75747,78.18472,341.86,60,VIIRS,2026-08-01,0750
10.26295,79.14907,331.65,60,VIIRS,2026-08-01,0750
9.68989,78.37985,335.15,60,VIIRS,2026-08-01,0750
9.39618,78.85063,345.85,60,VIIRS,2026-08-01,0750
8.7568,78.18086,337.41,60,VIIRS,2026-08-01,0750
11.27329,78.15312,337.74,60,VIIRS,2026-08-01,0750
11.87308,79.73968,332.62,60,VIIRS,2026-08-01,0750
11.72811,78.7383,333.55,60,VIIRS,2026-08-01,0750
11.87655,79.37332,337.57,60,VIIRS,2026-08-01,0750
11.93526,79.55087,335.31,60,VIIRS,2026-08-01,0750
12.41949,80.10271,335.44,60,VIIRS,2026-08-01,0750
12.57915,79.24837,332.54,60,VIIRS,2026-08-01,0750
11.155,77.7301,330.49,60,VIIRS,2026-08-01,0750
8.75609,78.18428,333.7,60,VIIRS,2026-08-01,0750
11.29113,79.78253,335.48,60,VIIRS,2026-08-01,0750
11.02383,78.76881,332.56,60,VIIRS,2026-08-01,0750
11.05059,79.3532,341.89,60,VIIRS,2026-08-01,0750
10.96096,79.73511,331.46,60,VIIRS,2026-08-01,0750
21.75245,83.84271,333.3,60,VIIRS,2026-08-01,0752
21.75659,83.8465,334.92,60,VIIRS,2026-08-01,0752
21.756,83.84217,334.59,60,VIIRS,2026-08-01,0752
21.91989,83.35123,343.28,60,VIIRS,2026-08-01,0752
22.78513,86.20668,330.33,60,VIIRS,2026-08-01,0752
22.78832,86.19825,333.15,60,VIIRS,2026-08-01,0752
24.20259,82.70964,331.81,60,VIIRS,2026-08-01,0752
22.3573,82.3028,345.09,60,VIIRS,2026-08-01,0752
23.78719,85.55325,332.66,60,VIIRS,2026-08-01,0752
24.14243,82.71046,330.26,60,VIIRS,2026-08-01,0752
20.96636,86.01635,335.7,60,VIIRS,2026-08-01,0752
21.29788,81.60934,330.83,60,VIIRS,2026-08-01,0752
21.74177,83.84429,338.72,60,VIIRS,2026-08-01,0752
21.74533,83.84377,348.35,60,VIIRS,2026-08-01,0752
24.16346,82.63028,330.04,60,VIIRS,2026-08-01,0752
21.74889,83.84324,341.48,60,VIIRS,2026-08-01,0752
23.16558,82.33907,309.5,60,VIIRS,2026-08-01,2019
23.16494,82.3429,295.32,60,VIIRS,2026-08-01,2019
23.16289,82.33456,295.63,60,VIIRS,2026-08-01,2019
26.64381,79.47885,311.21,60,VIIRS,2026-08-01,2019
26.64038,79.47826,308.02,60,VIIRS,2026-08-01,2019
25.03351,87.3898,301.06,60,VIIRS,2026-08-01,2019
24.12186,86.86384,309.91,60,VIIRS,2026-08-01,2019
24.12118,86.86406,309.77,60,VIIRS,2026-08-01,2019
24.11791,86.85925,308.61,60,VIIRS,2026-08-01,2019
23.80529,86.32943,312.24,60,VIIRS,2026-08-01,2019
23.79707,86.35059,300.13,60,VIIRS,2026-08-01,2019
23.78638,86.34246,297.56,60,VIIRS,2026-08-01,2019
23.77422,86.36267,295.99,60,VIIRS,2026-08-01,2019
23.77842,86.38842,295.34,60,VIIRS,2026-08-01,2019
23.78337,86.34074,298.07,60,VIIRS,2026-08-01,2019
23.79527,86.23495,297.43,60,VIIRS,2026-08-01,2019
23.7631,86.40427,300.18,60,VIIRS,2026-08-01,2019
23.75916,86.4034,300.03,60,VIIRS,2026-08-01,2019
23.73701,86.43325,306.48,60,VIIRS,2026-08-01,2019
23.68758,86.39125,302.55,60,VIIRS,2026-08-01,2019
23.68686,86.39489,298.84,60,VIIRS,2026-08-01,2019
23.68292,86.39404,308.4,60,VIIRS,2026-08-01,2019
23.67898,86.39319,298.2,60,VIIRS,2026-08-01,2019
23.67825,86.39687,303.28,60,VIIRS,2026-08-01,2019
23.67752,86.4006,300.56,60,VIIRS,2026-08-01,2019
23.82386,85.49789,308.15,60,VIIRS,2026-08-01,2019
23.78652,85.55202,309.45,60,VIIRS,2026-08-01,2019
23.78371,85.56706,300.4,60,VIIRS,2026-08-01,2019
23.78277,85.5721,300.92,60,VIIRS,2026-08-01,2019
23.78183,85.57716,301.41,60,VIIRS,2026-08-01,2019
23.68404,86.0956,306.81,60,VIIRS,2026-08-01,2019
23.68017,86.09469,325.52,60,VIIRS,2026-08-01,2019
23.69513,85.28842,306.7,60,VIIRS,2026-08-01,2019
23.64797,85.43639,307.59,60,VIIRS,2026-08-01,2019
23.64702,85.44136,312.65,60,VIIRS,2026-08-01,2019
24.76533,74.60587,305.62,60,VIIRS,2026-08-01,2019
22.37671,87.27874,311.91,60,VIIRS,2026-08-01,2019
23.16828,82.34354,295.31,60,VIIRS,2026-08-01,2019
21.00937,80.87962,303.97,60,VIIRS,2026-08-01,2021
22.33272,82.60599,299.53,60,VIIRS,2026-08-01,2021
22.32516,82.54797,298.63,60,VIIRS,2026-08-01,2021
22.32251,82.56358,295.39,60,VIIRS,2026-08-01,2021
22.32185,82.56748,295.04,60,VIIRS,2026-08-01,2021
22.31914,82.56291,301.39,60,VIIRS,2026-08-01,2021
22.31848,82.56682,298.12,60,VIIRS,2026-08-01,2021
22.3597,82.30285,323.6,60,VIIRS,2026-08-01,2021
22.35636,82.30221,309.28,60,VIIRS,2026-08-01,2021
22.31705,82.53432,296.12,60,VIIRS,2026-08-01,2021
22.00468,82.67042,314.24,60,VIIRS,2026-08-01,2021
21.73024,82.21424,309.17,60,VIIRS,2026-08-01,2021
21.67444,82.08134,304.84,60,VIIRS,2026-08-01,2021
21.63124,82.11251,304.85,60,VIIRS,2026-08-01,2021
21.62338,81.79445,308.07,60,VIIRS,2026-08-01,2021
21.56129,81.75552,308.68,60,VIIRS,2026-08-01,2021
21.18878,81.39098,312.27,60,VIIRS,2026-08-01,2021
21.18547,81.39037,309.62,60,VIIRS,2026-08-01,2021
21.18277,81.38604,323.77,60,VIIRS,2026-08-01,2021
21.17946,81.38543,306.98,60,VIIRS,2026-08-01,2021
21.18909,81.20028,309.08,60,VIIRS,2026-08-01,2021
21.33872,78.97022,310.54,60,VIIRS,2026-08-01,2021
21.33537,78.96964,309.48,60,VIIRS,2026-08-01,2021
21.24936,79.20856,303.01,60,VIIRS,2026-08-01,2021
20.69718,78.63522,307.55,60,VIIRS,2026-08-01,2021
17.61027,83.2024,300.35,60,VIIRS,2026-08-01,2021
17.14112,77.18571,307.49,60,VIIRS,2026-08-01,2021
17.13884,77.17729,305.53,60,VIIRS,2026-08-01,2021
11.81586,77.9163,305.33,60,VIIRS,2026-08-01,2023
11.28767,79.75057,330.43,60,VIIRS,2026-08-01,2023
11.36164,79.23067,307.7,60,VIIRS,2026-08-01,2023
11.42618,77.49764,314.74,60,VIIRS,2026-08-01,2023
10.81198,79.84731,314.36,60,VIIRS,2026-08-01,2023
10.63879,77.44735,301.63,60,VIIRS,2026-08-01,2023
8.82747,78.08612,331.31,60,VIIRS,2026-08-01,2025
8.82692,78.08961,324.72,60,VIIRS,2026-08-01,2025
8.82417,78.08559,306.46,60,VIIRS,2026-08-01,2025
8.82361,78.08907,306.98,60,VIIRS,2026-08-01,2025
8.66925,77.99277,304.57,60,VIIRS,2026-08-01,2025
10.61565,79.65601,338.06,60,VIIRS,2026-08-02,0729
10.88474,79.83207,339.26,60,VIIRS,2026-08-02,0729
10.94911,79.78835,339.3,60,VIIRS,2026-08-02,0729
11.18027,79.53069,336.33,60,VIIRS,2026-08-02,0729
11.49028,79.55821,339.59,60,VIIRS,2026-08-02,0731
12.04076,79.63448,340.49,60,VIIRS,2026-08-02,0731
12.06237,78.75201,367,90,VIIRS,2026-08-02,0731
13.6854,78.08358,340.21,60,VIIRS,2026-08-02,0731
14.67235,79.53287,331.94,60,VIIRS,2026-08-02,0731
15.1253,76.765,335.8,60,VIIRS,2026-08-02,0731
17.60891,83.20403,338.42,60,VIIRS,2026-08-02,0731
17.34344,80.85319,345.23,60,VIIRS,2026-08-02,0731
19.10179,82.16485,330.28,60,VIIRS,2026-08-02,0731
20.96793,86.00375,337.35,60,VIIRS,2026-08-02,0733
21.07794,85.03757,332.32,30,VIIRS,2026-08-02,0733
21.67383,84.04063,330.91,30,VIIRS,2026-08-02,0733
21.67717,84.04002,337.96,30,VIIRS,2026-08-02,0733
21.76636,84.02389,338.6,30,VIIRS,2026-08-02,0733
