latitude,longitude,brightness,confidence,satellite,acq_date,acq_time
28.18286,76.60889,337.22,60,VIIRS,2026-08-02,735
29.63628,77.26997,334.98,60,VIIRS,2026-08-02,735
29.59424,76.10698,333.3,60,VIIRS,2026-08-02,735
29.59857,76.10577,343.58,60,VIIRS,2026-08-02,735
29.59477,76.10917,331.84,60,VIIRS,2026-08-02,735
29.59909,76.10796,338.67,60,VIIRS,2026-08-02,735
28.7467,76.92795,303.75,60,VIIRS,2026-08-02,2000
29.47797,76.85978,307.2,60,VIIRS,2026-08-02,2140
28.85252,77.14256,303.76,60,VIIRS,2026-08-08,1947
29.47427,76.85662,308.43,60,VIIRS,2026-08-09,2110
29.47654,76.86024,309.21,60,VIIRS,2026-08-09,2110
29.45847,76.86858,313.9,60,VIIRS,2026-08-10,2049
29.45921,76.86439,300.55,60,VIIRS,2026-08-10,2049
28.66428,77.57787,311.08,60,VIIRS,2026-08-11,2032
28.37074,77.26344,310.58,60,VIIRS,2026-08-11,2032
28.35049,77.2597,307.19,60,VIIRS,2026-08-11,2032
28.2789,77.27592,309.9,60,VIIRS,2026-08-11,2032
28.34712,77.25909,311.4,60,VIIRS,2026-08-11,2032
28.65299,77.58749,312.79,60,VIIRS,2026-08-12,2014
29.4775,76.85964,305.44,60,VIIRS,2026-08-15,2057
29.47517,76.85713,306.58,60,VIIRS,2026-08-16,2038
29.97257,77.51968,296.97,60,VIIRS,2026-08-16,2038
28.74395,76.92806,306.2,60,VIIRS,2026-08-16,2038
27.79236,75.33102,306.99,60,VIIRS,2026-08-16,2040
27.02486,77.7508,304.76,60,VIIRS,2026-08-16,2040
28.85306,77.14323,306.41,60,VIIRS,2026-08-18,2002
27.53035,77.65999,331.65,60,VIIRS,2026-08-18,2002
28.37441,77.2247,306.28,60,VIIRS,2026-08-18,2002
28.70777,76.8554,308.89,60,VIIRS,2026-08-18,2002
29.47378,76.85699,305.11,60,VIIRS,2026-08-19,2123
28.74485,76.92733,310.37,60,VIIRS,2026-08-20,2104
29.45761,76.86263,303.86,60,VIIRS,2026-08-20,2104
29.46148,76.86364,305.65,60,VIIRS,2026-08-20,2104
27.79147,75.33251,308.88,60,VIIRS,2026-08-21,2046
29.45857,76.8695,339.11,60,VIIRS,2026-08-22,801
29.46125,76.86491,337.25,60,VIIRS,2026-08-22,801
29.4581,76.86677,312.68,60,VIIRS,2026-08-22,2025
28.33879,77.21997,300.38,60,VIIRS,2026-08-22,2025
29.45937,76.86541,330.47,60,VIIRS,2026-08-23,741
29.45724,76.86423,336.34,60,VIIRS,2026-08-23,741
29.46107,76.86459,308.59,60,VIIRS,2026-08-23,2008
29.45618,76.86398,333.18,60,VIIRS,2026-08-23,2008
29.46122,76.88956,307.93,60,VIIRS,2026-08-23,2008
29.45866,76.86417,337.19,60,VIIRS,2026-08-23,2008
28.83727,77.13653,303.18,60,VIIRS,2026-08-23,2008
28.35195,77.25737,303.02,60,VIIRS,2026-08-23,2008
28.35041,77.25633,305.0,60,VIIRS,2026-08-23,2008
29.45627,76.8924,327.41,60,VIIRS,2026-08-25,705
29.47616,76.85736,306.91,60,VIIRS,2026-08-26,2051
29.45695,76.86645,325.0,60,VIIRS,2026-08-27,2032
29.46341,76.88279,298.15,60,VIIRS,2026-08-29,1953
29.46308,76.88765,309.87,60,VIIRS,2026-08-29,1953
28.66509,77.57698,306.44,60,VIIRS,2026-08-29,1955
29.45783,76.893,315.97,60,VIIRS,2026-08-29,2136
29.45926,76.88767,330.18,60,VIIRS,2026-08-29,2136
29.45884,76.89159,331.32,60,VIIRS,2026-08-29,2136
29.46024,76.88624,304.02,60,VIIRS,2026-08-29,2136
28.74474,76.9258,302.82,60,VIIRS,2026-08-30,2116
29.47735,76.8579,334.37,60,VIIRS,2026-08-30,2116
28.34796,77.25802,308.08,60,VIIRS,2026-08-31,2057
29.46107,76.8892,307.39,60,VIIRS,2026-08-31,2057
28.37484,77.22419,310.89,60,VIIRS,2026-08-31,2057
28.3733,77.22678,310.67,60,VIIRS,2026-08-31,2057
29.12574,75.77645,309.75,60,VIIRS,2026-09-01,2040
28.66423,77.57953,309.48,60,VIIRS,2026-09-01,2040
27.79342,75.33019,305.85,60,VIIRS,2026-09-01,2040
29.48014,76.85374,305.02,60,VIIRS,2026-09-03,2002
29.47475,76.85314,367.0,90,VIIRS,2026-09-03,2002
29.47446,76.85703,309.14,60,VIIRS,2026-09-03,2002
29.47757,76.85374,367.0,90,VIIRS,2026-09-03,2002
29.47725,76.85763,310.55,60,VIIRS,2026-09-03,2002
28.74499,76.92669,296.37,60,VIIRS,2026-09-03,2002
28.71685,76.8332,299.98,60,VIIRS,2026-09-03,2002
29.47733,76.8575,334.66,60,VIIRS,2026-09-03,2142
29.47375,76.85448,316.52,60,VIIRS,2026-09-03,2142
29.47193,76.86103,313.99,60,VIIRS,2026-09-03,2142
29.47778,76.85781,305.57,60,VIIRS,2026-09-05,2104
29.47461,76.85748,306.47,60,VIIRS,2026-08-02,2046
27.66697,76.12926,306.57,60,VIIRS,2026-08-02,2046
28.77298,76.6991,305.86,60,VIIRS,2026-08-04,2008
29.45735,76.87064,307.61,60,VIIRS,2026-08-07,2053
28.85394,77.1468,306.44,60,VIIRS,2026-08-08,2034
28.81726,76.83368,304.86,60,VIIRS,2026-08-09,2014
28.34709,77.25639,304.01,60,VIIRS,2026-08-11,2118
28.37061,77.26281,306.87,60,VIIRS,2026-08-12,2057
28.19945,76.90763,307.02,60,VIIRS,2026-08-12,2057
29.1239,75.77663,310.57,60,VIIRS,2026-08-13,2040
28.66194,77.57907,311.79,60,VIIRS,2026-08-13,2040
28.64995,77.58897,306.76,60,VIIRS,2026-08-13,2040
28.13188,76.89797,316.67,60,VIIRS,2026-08-13,2040
29.12209,75.77994,305.7,60,VIIRS,2026-08-14,2021
